epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,25.0667921548,1259.01075128,1133.67679046,26.6711771446,1200.76635746,1067.41047244
1,26.024660139,1188.56695939,1058.44365863,25.460220773,1182.61806201,1055.31695763
2,25.9073611919,1176.27095185,1046.73414578,25.2054458948,1172.60288098,1046.57564957
3,25.8519724694,1169.29355677,1040.03369437,25.7439230763,1167.330453,1038.610838
4,25.7892974611,1164.74274319,1035.79625603,25.8329007159,1165.28274486,1036.11824071
5,25.7226271487,1161.33762544,1032.72448961,25.6204315785,1160.19480859,1032.09265015
6,25.6852880577,1158.69867485,1030.27223449,26.599553474,1158.17653473,1025.17876574
7,25.6362062926,1156.55441636,1028.373385,26.223574423,1156.3794032,1025.26153236
8,25.5827294747,1154.66087683,1026.74722924,24.4435276844,1156.91049964,1034.69286118
9,25.5319699798,1151.82528721,1024.1654373,25.0805381113,1151.13431713,1025.73162475
