epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,10.7260841584,1043.23147661,1032.50539255,9.56689217457,995.364757968,985.797867426
1,9.14382166008,987.488752205,978.344930632,8.58270665745,980.065146348,971.482439964
2,8.7678836492,976.650705003,967.882821481,8.45550596278,972.560985621,964.105478993
3,8.86181641791,970.260664719,961.3988482,8.83626196207,969.151673441,960.31541156
4,8.88399835763,966.966137351,958.082139192,8.9347769126,965.238836664,956.304058755
5,8.88647125957,965.092463778,956.205992625,9.03533174425,963.562757272,954.527425653
6,8.84166462009,963.874352736,955.032688028,8.78435584626,962.176373731,953.3920183
7,8.84125319302,963.175519004,954.334265827,8.92091798679,960.852189035,951.931271104
8,8.81025750105,962.336693765,953.52643628,8.6632611543,960.846914468,952.183652787
9,8.87417457181,962.142454138,953.26827956,8.77983150198,960.543107605,951.763276513
