epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,51.7477118379,1172.12097182,1068.62554824,49.828736916,1112.22719618,1012.56972318
1,47.8509231122,1105.15730181,1009.45545551,47.5782766325,1096.47677691,1001.32022351
2,46.6690474563,1094.38993771,1001.05184303,46.7620291597,1089.72779751,996.203741709
3,45.9809875247,1087.5754882,995.613513028,44.8630501307,1083.11895364,993.39285274
4,45.4071444321,1082.25988677,991.44559776,44.4945698295,1080.55967685,991.570538978
5,45.1082218411,1079.09542766,988.87898396,44.2168852712,1076.87647321,988.442702424
6,44.8408650016,1076.76817721,987.086447319,44.6972041878,1075.03253191,985.638123193
7,44.5911629236,1074.85982456,985.677498497,43.0944838942,1073.65444292,987.465474626
8,44.3917198675,1073.14184583,984.358406213,45.0111661776,1071.61347871,981.591145389
9,44.1428758993,1071.57211234,983.286360589,44.1347306439,1069.6563625,981.386902641
