epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,3.67236699486,2240.2542748,2232.90954107,3.16311662929,2201.30937227,2194.98313518
1,2.93964478655,2200.1148466,2194.23555731,3.03197282475,2194.43307408,2188.36912964
2,2.61460622851,2195.37768706,2190.14847481,2.5770195555,2192.16094259,2187.00690564
3,2.3583851986,2192.54297942,2187.82620915,2.21012304328,2188.37483607,2183.95459247
4,2.12230563232,2190.45414129,2186.20953033,1.93602230829,2187.66200102,2183.78995941
5,1.91768775249,2188.79905849,2184.96368354,1.82517412358,2185.65352838,2182.00318518
6,1.7713801725,2187.25373336,2183.71097259,1.69130448579,2183.59223936,2180.20962682
7,1.67323270656,2185.99340053,2182.64693536,1.5166702573,2182.94254137,2179.90920086
8,1.60760171499,2184.95675746,2181.74155368,1.47205763463,2182.74874935,2179.80463504
9,1.39230770765,2180.42666519,2177.64204988,1.31007281958,2178.45119155,2175.83103987
10,1.25858066398,2179.5422114,2177.02505019,1.13694612556,2177.45595803,2175.18206015
11,1.19578365813,2178.99382465,2176.60225721,1.0193388176,2177.09555382,2175.05687419
12,1.1584489742,2178.55899522,2176.24209759,1.07315616087,2176.76114428,2174.61483471
13,1.13020856283,2178.16790025,2175.90748284,1.12434876647,2176.30157653,2174.05287878
14,1.11180255967,2177.81984715,2175.59624147,0.99332157782,2176.33891941,2174.35227858
