epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,18.973660495,1350.34272506,1217.52710169,19.3752736453,1284.89489484,1149.26798091
1,19.666894343,1260.40860336,1122.74034297,19.5465083912,1249.80608957,1112.98052826
2,19.9082135095,1240.61833513,1101.26084043,19.4743556317,1235.18770527,1098.86721534
3,19.9522462394,1229.73519956,1090.06947577,20.4666781399,1230.2273395,1086.96059396
4,19.8628753357,1223.23106417,1084.19093702,18.8752379827,1226.02712551,1093.90046064
5,19.7413417297,1218.73702046,1080.54762851,19.5716620917,1217.0079107,1080.00627595
6,19.6307880782,1215.4464158,1078.03089913,19.135465765,1217.98302976,1084.03476778
7,19.4884318035,1209.77515318,1073.35613074,19.3170092423,1209.57847606,1074.35941276
8,19.386384781,1207.74853044,1072.04383708,19.9145896257,1207.7320514,1068.32992332
9,19.3598138495,1206.68710555,1071.16840864,19.3955777413,1207.01343098,1071.24438708
