epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.576583258365,984.654133839,982.924384044,0.216376310118,932.562325126,931.913196529
1,0.165456516201,929.894872182,929.398502637,0.127232411732,928.199042773,927.817344712
2,0.113417460034,927.126273678,926.786021344,0.0987706464463,926.517815017,926.221503207
3,0.0901906040559,925.78417078,925.513599028,0.0816616716736,925.527766583,925.282782001
4,0.0757440287472,924.968634336,924.741402182,0.0699988621903,924.99831411,924.788317908
5,0.0659045746467,924.411325628,924.213611918,0.0618772296546,924.473225837,924.287594386
6,0.0588435844344,923.996540006,923.820009202,0.0557528492791,923.99624422,923.828986112
7,0.0540231214171,923.379360269,923.217290985,0.051606739484,923.463573496,923.308752143
8,0.0507369031171,923.213602276,923.061391537,0.0487982659898,923.307077103,923.160682489
9,0.0485987232427,922.939251835,922.793455633,0.0476248075679,923.114339141,922.971463987
10,0.0475540731322,922.799058405,922.656396168,0.047071964922,922.989474211,922.848258358
11,0.0470364931729,922.728108552,922.586999079,0.0468003961188,922.927910781,922.787509056
12,0.0467103149577,922.708265292,922.568134455,0.0464626435242,922.909253408,922.769866237
13,0.0464440043525,922.673526784,922.534194803,0.0462937484486,922.881485058,922.742604108
14,0.0463154603851,922.655413552,922.516467234,0.0462183955597,922.866118147,922.727461838
15,0.0462503596046,922.646128628,922.507377487,0.0462131340444,922.858385747,922.719745421
16,0.0462160999685,922.641365185,922.502716914,0.0462215306387,922.854732069,922.716067243
17,0.0461996869113,922.638908607,922.500309538,0.0462208330252,922.853155502,922.714493454
18,0.0461922723699,922.637659437,922.49908257,0.0462109549314,922.852407194,922.713775363
19,0.0461891778576,922.637314855,922.498747243,0.0462070974245,922.85209996,922.713479488
