epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,16.5182325995,2900.98063278,2900.98063278,11.8575248718,2903.73810988,2903.73810988
1,12.3868841213,2898.34498439,2898.34498439,12.7487020493,2903.67929976,2903.67929976
2,13.5674767385,2898.27087339,2898.27087339,13.830739975,2903.67110253,2903.67110253
3,13.830739975,2898.23235642,2898.23235642,13.830739975,2903.66973847,2903.66973847
4,13.830739975,2897.91257064,2897.91257064,13.830739975,2903.52991162,2903.52991162
5,13.830739975,2897.91117393,2897.91117393,13.830739975,2903.52926331,2903.52926331
6,13.8271062071,2897.88271985,2897.88271985,13.8247509003,2903.47444931,2903.47444931
7,13.8221025727,2897.88112906,2897.88112906,13.8209924698,2903.47427533,2903.47427533
