epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,6.71598349367,2343.77286527,2337.05688219,2.77889753177,2226.10309006,2223.32419278
1,2.71693423327,2217.21464145,2214.49770722,2.5112205014,2208.54750876,2206.03628601
2,2.53695120406,2205.00628536,2202.46933381,2.44583167854,2200.24384345,2197.79801431
3,2.41386157334,2198.58642888,2196.17256729,2.20466418525,2195.61075565,2193.4060885
4,2.30639428592,2194.57090366,2192.2645093,2.3017154054,2192.15272925,2189.85100977
5,2.20112403858,2191.70497788,2189.5038542,2.05807285392,2189.33181587,2187.27374465
6,2.10948087538,2189.53335948,2187.42387868,1.95530806996,2187.40488553,2185.44958006
7,2.02767818847,2187.88035576,2185.85267741,1.91107808139,2186.21086303,2184.29978263
8,1.9553638412,2186.57589364,2184.6205292,1.96372564996,2185.22773732,2183.26401715
9,1.89042832883,2185.49455869,2183.60412998,1.85297816782,2184.12639143,2182.27341566
