epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.0388402591983,982.861223433,977.889670218,0.012314856423,939.690033022,938.113731078
1,0.0169701070715,933.605270159,931.433096521,0.0105040162583,929.454437966,928.109923776
2,0.0135501926241,927.624387053,925.889962463,0.00817427180745,925.727598185,924.681291191
3,0.0116274796083,924.844861615,923.356544311,0.00709618675542,923.478973282,922.570661399
4,0.0103623502783,923.020647073,921.69426609,0.00760573462811,922.251016505,921.277481658
