epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,3.13192121065,2354.99306412,2348.72922236,1.4715022863,2236.43390673,2233.4909031
1,1.4478533036,2225.23782798,2222.34212126,1.28378553794,2215.43201726,2212.86444533
2,1.31766585753,2210.8921267,2208.25679481,1.28061577421,2205.18818383,2202.62695678
3,1.21187797691,2203.19570181,2200.7719463,1.32664776604,2199.29625764,2196.64296259
4,1.12524674854,2198.29561938,2196.04512558,1.1785097942,2195.44708959,2193.09006878
5,1.05277542942,2194.80117878,2192.69562776,0.94463869078,2192.68932228,2190.80003933
6,0.99218628708,2192.08091307,2190.09654082,0.960299128313,2190.26672555,2188.3461282
7,0.942236524088,2189.81782245,2187.93334894,0.892067575873,2188.30834552,2186.52421249
8,0.900333643475,2187.91408793,2186.11342118,0.957055286313,2186.82472619,2184.91061248
9,0.862079151209,2186.27823961,2184.55408152,0.890215745723,2185.19256966,2183.41213141
