epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,0.468244088467,941.316340316,940.379852149,0.180532423904,922.500359889,922.139295429
1,0.139040688631,920.803962174,920.52588089,0.112410166855,919.985909564,919.761088703
2,0.0961133939442,919.221152017,919.028925244,0.0827760037094,918.866874066,918.70132177
3,0.0747464818676,918.419078855,918.269585909,0.0670748699007,918.273388492,918.139238171
4,0.062061038953,917.922381526,917.798259474,0.0571954619389,917.953126156,917.838735374
5,0.0552380573321,917.301807045,917.191330933,0.0532697519174,917.395633774,917.289094959
6,0.0507952976719,917.14106031,917.039469673,0.0491574322362,917.25997963,917.161664179
7,0.0482328193515,916.877554473,916.781088846,0.0475316193695,917.016590928,916.921528289
8,0.0469994602442,916.743684499,916.649685599,0.0468500761223,916.894551363,916.800850507
9,0.0461241145334,916.709102701,916.616854427,0.0458990183047,916.85875696,916.766957993
10,0.0455046784409,916.644161611,916.553152274,0.0454272450135,916.806117769,916.715263542
11,0.0452049826235,916.610818187,916.52040822,0.0451713681963,916.773886999,916.683544514
12,0.0450547764597,916.593877219,916.503767692,0.0450707714612,916.75899024,916.668849494
13,0.0449787994954,916.585276342,916.495318739,0.045028736386,916.752177951,916.662119977
14,0.0449413552321,916.580902844,916.491020131,0.0450058275208,916.748804927,916.658793668
15,0.0449229157302,916.578671498,916.488825647,0.0449845744805,916.747129093,916.657158924
16,0.0449134903681,916.577533838,916.487706889,0.0449709012581,916.746344989,916.656403873
17,0.0449090782761,916.577230324,916.487412259,0.0449660388727,916.746061318,916.656129256
