epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,3.22782456716,1409.32638805,1306.03600181,0.837883105612,1176.15813813,1149.34587998
1,1.23084092983,1074.00839273,1034.62148301,0.791041431689,1024.22182476,998.908499674
2,0.816245542785,1015.956116,989.836258703,0.673118620806,1004.11794821,982.57815385
3,0.641680268311,998.986438273,978.452669455,1.05757308796,1008.10839103,974.266052418
4,0.391944937999,981.813571049,969.271333212,0.648057659453,986.591930606,965.854084842
5,0.380869061537,975.946397638,963.758587832,0.805619598654,987.256338104,961.476511609
6,0.265273572891,966.912017057,958.423262803,0.44030753214,970.24763073,956.157790637
7,0.269592969006,964.024393405,955.397418323,0.408099542842,967.014043271,953.954858564
8,0.264750503933,961.71845783,953.246441521,0.274265140474,960.509691402,951.73320664
9,0.258659403641,959.741858541,951.464757753,0.294121673168,959.663402258,950.2515087
10,0.252568941699,958.084699666,950.002493485,0.25790043889,957.220725747,948.967910729
11,0.247742995504,956.684687646,948.756911786,0.248507502888,955.507252416,947.555011952
12,0.242145867718,955.37528926,947.626621488,0.241609118461,954.311907925,946.580416131
13,0.237954364204,954.251858417,946.637318696,0.200277035027,952.022656478,945.613791432
14,0.233528104008,953.175894604,945.702995362,0.18593720857,950.76691117,944.816920445
