epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,1.04264056844,759.653005999,757.567725839,0.617960166782,736.468861539,735.232942599
1,0.548273545101,733.762332047,732.665786093,0.493131303981,731.425842774,730.439581365
2,0.448979785011,730.316016391,729.41805791,0.420132352317,729.022565359,728.18230073
3,0.389341667855,728.410589625,727.631907605,0.391135446066,727.605900863,726.823631856
4,0.351123479637,727.192627025,726.490381405,0.330211046935,726.705108823,726.044689725
5,0.324619393448,726.326292948,725.677055503,0.338567369018,725.939836165,725.262703419
6,0.30533756841,725.674532836,725.063858901,0.31177116778,725.30722161,724.683680697
7,0.289511749566,725.171412236,724.592390076,0.308244195347,724.853344848,724.236857734
8,0.276888715209,724.761197819,724.207421931,0.257755361658,724.563779651,724.048270167
9,0.256974586748,724.218550379,723.704602494,0.236514048516,723.995041242,723.522014612
