epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,19.5011832821,1382.60840394,1226.59893767,21.4594392286,1295.49772113,1123.82220863
1,21.1919494047,1281.29137404,1111.75577872,21.4063578553,1270.53679355,1099.28593061
2,21.1936752028,1263.34372249,1093.79432077,20.9054904411,1257.02209757,1089.77817364
3,21.1352939425,1254.40410545,1085.32175404,21.829364114,1250.30257286,1075.6676604
4,21.051578708,1248.32784993,1079.9152205,20.5707642562,1245.55895705,1080.99284456
5,20.9678032998,1243.8585384,1076.1161121,21.1364845952,1242.04957806,1072.9577015
6,20.8701759519,1240.14395719,1073.18254968,20.9543268428,1237.67743561,1070.04282241
7,20.8023689378,1237.19217865,1070.77322694,20.0985749655,1236.91275762,1076.12415974
8,20.724119302,1234.87826263,1069.08530808,20.4366864394,1233.89373381,1070.40024107
9,20.6348023926,1232.74519437,1067.6667751,20.2647260237,1231.00953631,1068.89172839
