epoch,loss,val_loss
0,90.0790982841,79.2797732836
1,77.8067422357,75.5233900982
2,75.2955865243,73.8597546116
3,73.9217317624,72.6909448711
4,73.1458152152,72.0203472837
5,72.6973168102,71.5990105904
6,72.3696378741,71.2680773849
7,72.0417208508,70.9423236511
8,71.7370092159,70.6690492151
9,71.4692634813,70.5792627744
10,71.3064536892,70.4294788054
11,71.1552176419,70.3634934856
12,71.0594235074,70.2735109095
13,70.9660433928,70.1900835351
