epoch,loss,val_loss
0,125.272723439,91.788842231
1,84.4748006303,77.8613551739
2,77.0614942082,74.6584130564
3,75.1936403425,73.6481222809
4,74.4761072245,73.1663391443
5,74.0893128625,72.8794793732
6,73.6775195147,72.5552359989
7,73.53884269,72.4476527283
8,73.3128291984,72.2593490425
9,73.2455332841,72.2067066725
10,73.191341397,72.1621073416
11,73.0554217967,72.0491870302
12,73.0219294384,72.0227803392
13,72.9301600044,71.9526203232
14,72.9094735755,71.9361242012
