epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,31.6184789268,1264.89352055,1138.41960488,31.2030124913,1203.70060277,1078.88855415
1,31.2898467432,1185.56130972,1060.40192266,28.8906625935,1175.29251062,1059.72986055
2,30.7444605889,1168.1771535,1045.19931084,30.3679240303,1162.07252865,1040.60083206
3,30.3878293819,1158.16910778,1036.61779053,29.2355977621,1154.02531301,1037.08292292
4,30.0185855386,1151.1484355,1031.07409342,30.3671516914,1149.17649052,1027.70788254
5,29.5807421112,1145.37786046,1027.05489186,29.6230826759,1142.87102024,1024.37868973
6,29.1045383299,1139.78133033,1023.36317694,28.332475652,1137.2822317,1023.95232848
7,28.7630438559,1135.32608606,1020.27391062,28.9896321168,1134.0147594,1018.05623145
8,28.4383285786,1131.95903415,1018.20571978,29.3944130164,1131.73540301,1014.1577516
9,27.8518257603,1127.81945894,1016.4121559,28.0001769852,1125.0370706,1013.03636251
