epoch,kl_loss,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0,1.23171261707,2239.1428641,2234.2160139,0.934900816277,2197.92954638,2194.18993706
1,0.78866382317,2196.66849658,2193.51384091,0.657161652286,2189.77096101,2187.14231249
2,0.686850009818,2191.62857798,2188.88117764,0.734616536879,2186.9512815,2184.01281042
3,0.629441535362,2188.74433732,2186.22657155,0.53527650372,2184.29180227,2182.15069677
4,0.588193869417,2186.71309473,2184.36031936,0.506703534935,2184.08785842,2182.06104982
5,0.467605138307,2180.93329128,2179.06287057,0.495818897315,2178.5334131,2176.55013534
6,0.424625247204,2179.74189089,2178.04338978,0.479916260764,2177.47169579,2175.55202835
7,0.408362834688,2179.03298888,2177.39953723,0.435558301514,2176.63904314,2174.89680933
8,0.397923333137,2178.4145396,2176.82284633,0.367104971664,2176.10217403,2174.63375856
